Name,activation,optimizer,is_sparse,is_norm,is_gray,loss,accuracy,dropout,l1,l2,loss_validation,accuracy_validation
elu_adadelta_0.0001_categorical_crossentropy_5000_200,elu,adadelta,False,False,False,2.3776063919067383,0.10119999945163727,0,False,False,2.3745968341827393,0.09520000219345093
elu_adadelta_0.0001_categorical_crossentropy_5000_200_gray,elu,adadelta,False,False,True,194.04147338867188,0.1006999984383583,0,False,False,196.37649536132812,0.09769999980926514
elu_adadelta_0.0001_categorical_crossentropy_5000_200_gray_norm,elu,adadelta,False,True,True,2.3298158645629883,0.1012749969959259,0,False,False,2.333526611328125,0.0957999974489212
elu_adagrad_0.0001_categorical_crossentropy_5000_200,elu,adagrad,False,False,False,2.3813483715057373,0.10050000250339508,0,False,False,2.3742270469665527,0.09790000319480896
elu_adagrad_0.0001_categorical_crossentropy_5000_200_gray,elu,adagrad,False,False,True,2.8285117149353027,0.09972500056028366,0,False,False,2.784623146057129,0.10289999842643738
elu_adagrad_0.0001_categorical_crossentropy_5000_200_gray_norm,elu,adagrad,False,True,True,2.3068222999572754,0.10289999842643738,0,False,False,2.3068604469299316,0.10700000077486038
elu_adamax_0.0001_categorical_crossentropy_5000_200,elu,adamax,False,False,False,2.3240370750427246,0.09992499649524689,0,False,False,2.3257555961608887,0.10029999911785126
elu_adamax_0.0001_categorical_crossentropy_5000_200_gray,elu,adamax,False,False,True,2.3355419635772705,0.10052499920129776,0,False,False,2.341917037963867,0.09780000150203705
elu_adamax_0.0001_categorical_crossentropy_5000_200_gray_norm,elu,adamax,False,True,True,2.2928543090820312,0.10977499932050705,0,False,False,2.291792392730713,0.10949999839067459
elu_adam_0.0001_categorical_crossentropy_5000_200,elu,adam,False,False,False,2.3536317348480225,0.09992499649524689,0,False,False,2.3512983322143555,0.10029999911785126
elu_adam_0.0001_categorical_crossentropy_5000_200_gray,elu,adam,False,False,True,2.340186834335327,0.09937500208616257,0,False,False,2.3399906158447266,0.10249999910593033
elu_adam_0.0001_categorical_crossentropy_5000_200_gray_norm,elu,adam,False,True,True,2.216878652572632,0.15514999628067017,0,False,False,2.220562696456909,0.155799999833107
elu_ftrl_0.0001_categorical_crossentropy_5000_200,elu,ftrl,False,False,False,2.3127496242523193,0.0994499996304512,0,False,False,2.3114283084869385,0.10220000147819519
elu_ftrl_0.0001_categorical_crossentropy_5000_200_gray,elu,ftrl,False,False,True,2.330095052719116,0.09942500293254852,0,False,False,2.329557180404663,0.10260000079870224
elu_ftrl_0.0001_categorical_crossentropy_5000_200_gray_norm,elu,ftrl,False,True,True,2.3025243282318115,0.10119999945163727,0,False,False,2.302578926086426,0.09520000219345093
elu_nadam_0.0001_categorical_crossentropy_5000_200,elu,nadam,False,False,False,2.3343193531036377,0.0994499996304512,0,False,False,2.3351054191589355,0.10220000147819519
elu_nadam_0.0001_categorical_crossentropy_5000_200_gray,elu,nadam,False,False,True,2.315094470977783,0.09965000301599503,0,False,False,2.3171143531799316,0.10140000283718109
elu_nadam_0.0001_categorical_crossentropy_5000_200_gray_norm,elu,nadam,False,True,True,2.2812082767486572,0.1280750036239624,0,False,False,2.282691717147827,0.12759999930858612
elu_rmsprop_0.0001_categorical_crossentropy_5000_200,elu,rmsprop,False,False,False,2.307612419128418,0.0994499996304512,0,False,False,2.3087053298950195,0.10220000147819519
elu_rmsprop_0.0001_categorical_crossentropy_5000_200_gray,elu,rmsprop,False,False,True,2.3110039234161377,0.09962499886751175,0,False,False,2.311525821685791,0.10220000147819519
elu_rmsprop_0.0001_categorical_crossentropy_5000_200_gray_norm,elu,rmsprop,False,True,True,2.1940853595733643,0.1676499992609024,0,False,False,2.1953916549682617,0.17020000517368317
elu_sgd_0.0001_categorical_crossentropy_5000_200,elu,sgd,False,False,False,2.365121603012085,0.09965000301599503,0,False,False,2.366140842437744,0.10140000283718109
elu_sgd_0.0001_categorical_crossentropy_5000_200_gray,elu,sgd,False,False,True,2.3938839435577393,0.09965000301599503,0,False,False,2.3940799236297607,0.10130000114440918
elu_sgd_0.0001_categorical_crossentropy_5000_200_gray_norm,elu,sgd,False,True,True,2.2894577980041504,0.12082500010728836,0,False,False,2.289015054702759,0.1200999990105629
hard_sigmoid_adadelta_0.0001_categorical_crossentropy_5000_200,hard,sigmoid,False,False,False,2.30269455909729,0.10145000368356705,0,False,False,2.302513837814331,0.0949999988079071
hard_sigmoid_adadelta_0.0001_categorical_crossentropy_5000_200_gray,hard,sigmoid,False,False,True,2.406569480895996,0.09950000047683716,0,False,False,2.4074177742004395,0.10140000283718109
hard_sigmoid_adadelta_0.0001_categorical_crossentropy_5000_200_gray_norm,hard,sigmoid,False,True,True,2.3123831748962402,0.10050000250339508,0,False,False,2.3135528564453125,0.09799999743700027
hard_sigmoid_adagrad_0.0001_categorical_crossentropy_5000_200,hard,sigmoid,False,False,False,2.2718563079833984,0.11052499711513519,0,False,False,2.2754135131835938,0.10419999808073044
hard_sigmoid_adagrad_0.0001_categorical_crossentropy_5000_200_gray,hard,sigmoid,False,False,True,2.3032758235931396,0.10167499631643295,0,False,False,2.3027420043945312,0.09560000151395798
hard_sigmoid_adagrad_0.0001_categorical_crossentropy_5000_200_gray_norm,hard,sigmoid,False,True,True,2.2998132705688477,0.10022500157356262,0,False,False,2.300245761871338,0.10209999978542328
hard_sigmoid_adamax_0.0001_categorical_crossentropy_5000_200,hard,sigmoid,False,False,False,2.3025550842285156,0.10125000029802322,0,False,False,2.302824020385742,0.09520000219345093
